x,x,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,
0,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
1,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE
2,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
3,3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,FALSE
4,4,Charmander,Fire,NaN,309,39,52,43,60,50,65,1,FALSE
5,5,Charmeleon,Fire,NaN,405,58,64,58,80,65,80,1,FALSE
6,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
7,6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE
8,6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,FALSE
9,7,Squirtle,Water,NaN,314,44,48,65,50,64,43,1,FALSE
10,8,Wartortle,Water,NaN,405,59,63,80,65,80,58,1,FALSE
11,9,Blastoise,Water,NaN,530,79,83,100,85,105,78,1,FALSE
12,9,BlastoiseMega Blastoise,Water,NaN,630,79,103,120,135,115,78,1,FALSE
13,10,Caterpie,Bug,NaN,195,45,30,35,20,20,45,1,FALSE
14,11,Metapod,Bug,NaN,205,50,20,55,25,25,30,1,FALSE
15,12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE
16,13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
17,14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE
18,15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE
19,15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,FALSE
